Anos, Pretos/Pardos/Fulas, Brancos, Morenos, Outros
1879, 70, 30, 0, 0
1881, 72, 14, 13, 1
1883, 60, 23, 16, 1
1885, 81, 15, 3, 1
1887, 71, 17, 9, 3
1888, 78, 11, 8, 3
